"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2017,4,25,"Holy Cross","Navy","V",11,7,NA
2017,4,28,"Holy Cross","Loyola Maryland","V",3,13,NA
2017,2,11,"Jacksonville","Lehigh","H",12,13,NA
2017,2,18,"Jacksonville","Marquette","H",1,17,NA
2017,2,23,"Jacksonville","Detroit Mercy","V",11,12,NA
2017,2,25,"Jacksonville","Ohio St.","V",8,16,NA
2017,3,4,"Jacksonville","Hartford","V",3,15,NA
2017,3,13,"Jacksonville","Duke","V",6,13,NA
2017,3,18,"Jacksonville","Richmond","H",6,13,NA
2017,3,25,"Jacksonville","Air Force","V",9,10,1
2017,4,1,"Jacksonville","Furman","H",9,15,NA
2017,4,8,"Jacksonville","VMI","V",16,10,NA
2017,4,15,"Jacksonville","Mercer","V",13,7,NA
2017,4,22,"Jacksonville","High Point","H",9,13,NA
2017,4,29,"Jacksonville","Bellarmine","V",17,11,NA
2017,5,4,"Jacksonville","Air Force","N",8,11,NA
2017,2,7,"Johns Hopkins","Navy","H",15,8,NA
2017,2,11,"Johns Hopkins","UMBC","H",15,5,NA
2017,2,18,"Johns Hopkins","Loyola Maryland","H",14,13,1
2017,2,25,"Johns Hopkins","North Carolina","V",13,5,NA
2017,3,3,"Johns Hopkins","Princeton","V",7,18,NA
2017,3,11,"Johns Hopkins","Towson","V",8,13,NA
2017,3,18,"Johns Hopkins","Syracuse","H",7,8,1
2017,3,25,"Johns Hopkins","Virginia","H",18,17,1
2017,3,31,"Johns Hopkins","Rutgers","H",12,6,NA
2017,4,9,"Johns Hopkins","Ohio St.","V",9,13,NA
2017,4,15,"Johns Hopkins","Penn St.","H",13,11,NA
2017,4,22,"Johns Hopkins","Michigan","H",19,9,NA
2017,4,29,"Johns Hopkins","Maryland","V",5,12,NA
2017,5,4,"Johns Hopkins","Ohio St.","V",13,15,NA
2017,5,13,"Johns Hopkins","Duke","H",6,19,NA
2017,2,11,"Lafayette","Michigan","V",6,17,NA
2017,2,17,"Lafayette","Wagner","V",8,9,NA
2017,2,25,"Lafayette","Loyola Maryland","H",5,18,NA
2017,2,28,"Lafayette","Sacred Heart","V",10,14,NA
2017,3,4,"Lafayette","Army West Point","V",4,14,NA
2017,3,11,"Lafayette","Navy","H",9,8,NA
2017,3,18,"Lafayette","Lehigh","V",7,15,NA
2017,3,25,"Lafayette","Boston U.","V",7,15,NA
2017,4,1,"Lafayette","Binghamton","V",8,14,NA
2017,4,4,"Lafayette","Monmouth","H",8,9,NA
2017,4,8,"Lafayette","Holy Cross","H",5,10,NA
2017,4,11,"Lafayette","NJIT","H",12,11,NA
2017,4,15,"Lafayette","Bucknell","H",7,11,NA
2017,4,21,"Lafayette","Colgate","V",6,11,NA
2017,2,4,"Lehigh","NJIT","H",15,5,NA
2017,2,11,"Lehigh","Jacksonville","V",13,12,NA
2017,2,18,"Lehigh","North Carolina","V",8,15,NA
